param,left_w0,ki,0.1
param,left_w0,kp,2.0
param,left_w0,kd,0.5
param,left_w1,ki,1.71
param,left_w1,kp,1.9
param,left_w1,kd,0.15
param,left_w2,ki,2.31
param,left_w2,kp,1.8
param,left_w2,kd,0.11
param,left_e0,ki,2.1
param,left_e0,kp,10.0
param,left_e0,kd,0.12
param,left_e1,ki,2.1
param,left_e1,kp,16.0
param,left_e1,kd,0.26
param,left_s0,ki,0.29
param,left_s0,kp,80.0
param,left_s0,kd,1.4
param,left_s1,ki,1.0
param,left_s1,kp,100.0
param,left_s1,kd,1.0
change,left_w0,ki,0.01
change,left_w0,kp,0.2
change,left_w0,kd,0.05
change,left_w1,ki,0.17099999999999999
change,left_w1,kp,0.19
change,left_w1,kd,0.015
change,left_w2,ki,0.231
change,left_w2,kp,0.18
change,left_w2,kd,0.011
change,left_e0,ki,0.21000000000000002
change,left_e0,kp,1.0
change,left_e0,kd,0.012
change,left_e1,ki,0.21000000000000002
change,left_e1,kp,1.6
change,left_e1,kd,0.026000000000000002
change,left_s0,ki,0.028999999999999998
change,left_s0,kp,8.0
change,left_s0,kd,0.13999999999999999
change,left_s1,ki,0.1
change,left_s1,kp,10.0
change,left_s1,kd,0.1
error,left_w0,104.63288903796189
error,left_w1,128.84496914434635
error,left_w2,104.5471643829324
error,left_e0,476.9041545574254
error,left_e1,65.23641634959449
error,left_s0,78.7962709766439
error,left_s1,12.030430981028909
